Status,Lifespan,Type,Cost,Conversions,Value,Clicks
Inactive,4,Ecomm,0.8332,8.1667,6.6417,1.919
Inactive,4,Ecomm,0.2741,0.298,0.2993,0.2747
Inactive,8,Ecomm,0.2438,0.1095,0.0742,0.2543
Inactive,7,Ecomm,8.8464,1.3,0.8535,5.3605
Inactive,7,Ecomm,0.8125,0.5208,0.0602,0.7504
Inactive,4,Ecomm,0.4825,0.5268,2.1547,0.5174
Inactive,5,Ecomm,0.3554,0.2813,0.3652,0.3515
Inactive,13,Ecomm,0.2318,0.2194,0.1856,0.2345
Inactive,15,Ecomm,0.6429,0.5196,0.5556,0.5708
Inactive,11,Ecomm,0.0152,0.0333,0.2231,0.0147
Inactive,10,Ecomm,0.3084,0.2855,0.3158,0.3226
Inactive,4,Lead_Gen,0.2782,0.2222,0,0.2841
Inactive,7,Ecomm,0.0478,0.125,0.0844,0.0481
Inactive,9,Ecomm,0.1665,0.1462,0.0882,0.1889
Inactive,7,Ecomm,0.1667,0.1667,0.1667,0.1667
Inactive,4,Lead_Gen,4.7478,5.9524,0,11.7689
Inactive,24,Ecomm,0.6728,0.6882,0.6667,0.5896
Inactive,4,Ecomm,3.7523,2.3793,2.3793,3.9686
Inactive,3,Ecomm,2.4418,2.6607,2.7177,1.9142
Active,7,Ecomm,4.1629,3.5,3.9199,4.5135
Active,13,Ecomm,0.0647,0.1114,0.1246,0.0699
Active,5,Ecomm,0.3297,0.3266,0.3753,0.2676
Active,16,Ecomm,0.1035,0.1142,0.1147,0.1246
Active,13,Lead_Gen,0.6181,0.375,0,0.3967
Active,20,Ecomm,0.9546,0.9907,1.3842,0.8956
Active,5,Ecomm,0.2212,0.2401,0.1481,0.2269
Inactive,3,Ecomm,0.3559,0.2339,0.2809,0.3902
Inactive,3,Lead_Gen,0.2812,0.463,0,0.2969
Inactive,6,Ecomm,0.2961,0.3078,0.2843,0.2994
Inactive,7,Ecomm,0.5397,3.3333,3.4422,0.7057
Inactive,6,Ecomm,0.0747,0.2262,0.5751,0.1895
Inactive,3,Ecomm,0.1206,0.4103,0.2601,0.1779
Inactive,8,Ecomm,0.114,0.1165,0.1605,0.1127
Inactive,5,Ecomm,0.1667,0.1667,0.1667,0.1667
Inactive,11,Ecomm,0.3443,0.1,0.1,0.335
Inactive,12,Ecomm,1.3691,0.8333,1.1532,1.0612
Inactive,19,Ecomm,0.1657,0.1657,0.1657,0.1657
Inactive,4,Lead_Gen,0.3972,0.2292,0,0.3535
Inactive,8,Ecomm,0.156,0.1175,0.1132,0.1516
Inactive,15,Lead_Gen,0.3897,0.2767,0,0.5028
Inactive,17,Lead_Gen,1.0704,0.625,0,1.2101
Inactive,14,Ecomm,0.1667,0.1667,0.1667,0.1667
Inactive,14,Ecomm,1.594,1.742,2.9595,1.3948
Inactive,19,Ecomm,0.2468,0.1832,0.261,0.2462
Inactive,14,Ecomm,0.9094,0.372,0.2359,1.0346
Inactive,8,Ecomm,0.635,0.4602,0.3991,0.6352
Inactive,7,Ecomm,0.2516,0.3123,0.2701,0.2487
Inactive,6,Ecomm,0.1667,0.1667,0.1667,0.1667
Inactive,14,Ecomm,0.2401,0.2712,0.226,0.2254
Inactive,3,Ecomm,1.319,1.0476,0.9508,0.9374
Inactive,3,Lead_Gen,2.1748,1.3333,0,4.9167
Inactive,4,Ecomm,0.4169,0.5872,0.5253,0.3224
Active,8,Ecomm,0.0295,0.0562,0.071,0.0512
Active,37,Lead_Gen,1.1121,0.3611,0,0.6622
Active,28,Ecomm,0.1062,0.1481,0.1322,0.1535
Active,4,Ecomm,0.1791,0.2063,0.2063,0.1853
Active,13,Ecomm,1.1708,2.5,6.1356,1.0495
Active,18,Ecomm,0.1394,0.2282,0.2482,0.1471
Active,21,Ecomm,0.1804,0.1926,0.1768,0.1791
Active,18,Ecomm,0.0166,0.0038,0.0052,0.0155
Active,20,Ecomm,0.1691,0.1496,0.1496,0.1619
Active,25,Ecomm,0.1126,0.1921,0.2036,0.1015
Active,11,Ecomm,0.1745,0.1779,0.1776,0.1756
Active,15,Ecomm,0.0171,0.0139,0.0121,0.0165
Active,20,Ecomm,0.1394,0.195,0.1881,0.1943
Active,17,Ecomm,0.1834,0.1789,0.1945,0.182
Active,20,Ecomm,0.213,0.2521,0.2696,0.1988
Active,22,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,20,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,22,Ecomm,0.1507,0.2068,0.0176,0.1139
Active,17,Lead_Gen,1.7432,1.6984,0,1.8672
Active,12,Ecomm,1.7158,2.5833,2.737,1.6826
Active,7,Ecomm,0.7088,0.7571,0.8106,0.5113
Active,16,Ecomm,0.0149,0.0128,0.0123,0.016
Active,4,Ecomm,3.1944,7.6667,1.3886,3.4717
Active,15,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,17,Ecomm,0.9775,2.1481,2.079,1.0961
Active,9,Ecomm,0.1378,0.1127,0.1146,0.1642
Inactive,20,Ecomm,2.4092,1.4444,2.473,2.1339
Active,17,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,18,Ecomm,2.0616,3.9074,7.5798,1.7854
Active,5,Ecomm,3.064,2.6667,5.4513,2.6351
Active,17,Ecomm,0.9997,1.2273,1.2268,1.1796
Active,11,Ecomm,1.5009,1.9762,5.8937,1.3609
Active,5,Ecomm,0.177,0.1763,0.1695,0.1766
Active,6,Ecomm,0.151,0.158,0.1044,0.1703
Active,15,Ecomm,0.0125,0.0069,0.0274,0.0151
Active,10,Ecomm,5.5626,8,11.2258,5.3175
Active,10,Ecomm,0.1823,0.1767,0.1775,0.1814
Active,10,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,13,Ecomm,0.1244,0.1558,0.1734,0.1389
Active,10,Ecomm,0.2213,0.1957,0.1994,0.2115
Active,11,Ecomm,4.2671,6.5208,7.3169,4.2065
Active,7,Ecomm,0.1798,0.1761,0.1782,0.18
Active,15,Ecomm,3.8048,1.6667,4.1531,3.8325
Active,12,Ecomm,5.1125,1.6061,2.5643,2.8124
Active,7,Lead_Gen,0.1747,0.1731,0,0.176
Active,6,Ecomm,0.1736,0.1743,0.1742,0.1754
Active,14,Ecomm,0.181,0.1902,0.1838,0.1832
Active,11,Ecomm,0.0167,0.0144,0.0089,0.0186
Active,13,Lead_Gen,0.2943,0.2604,0,0.189
Active,11,Ecomm,2.5943,3.6304,2,2.1106
Active,11,Lead_Gen,0.1402,0.1566,0,0.1566
Active,8,Ecomm,1.4084,1.3478,1.4676,1.3411
Active,8,Ecomm,0.1261,0.1571,0.1542,0.1685
Active,13,Ecomm,0.3361,0.2956,0.3218,0.234
Active,12,Ecomm,4.3862,3.6667,3.5261,5.6243
Active,6,Ecomm,1.696,2.3948,2.1357,1.526
Active,11,Ecomm,0.0889,0.0842,0.0341,0.1007
Active,10,Ecomm,0.1963,0.1932,0.1712,0.1988
Active,3,Ecomm,3.2157,13.0833,43.1273,2.2209
Active,9,Ecomm,1.0208,1.2396,1.3928,1.6177
Active,4,Ecomm,0.1746,0.177,0.1794,0.1744
Active,8,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,9,Ecomm,4.6825,2.1481,2.5607,3.8176
Active,10,Ecomm,0.181,0.2319,0.2468,0.1798
Active,6,Ecomm,0.2386,0.219,0.1962,0.2429
Active,6,Ecomm,0.2515,0.3086,0.2799,0.2606
Active,7,Ecomm,1.8081,1.46,0.042,2.4598
Active,5,Ecomm,0.1313,0.1353,0.1321,0.1436
Active,9,Ecomm,1.8784,0.9444,0.4117,1.6507
Active,7,Ecomm,0.2072,0.1488,0.2324,0.1741
Active,5,Lead_Gen,2.7039,2.3,0,2.7091
Active,7,Ecomm,0.1097,0.1068,0.1116,0.1263
Active,8,Ecomm,0.9162,0.788,0.6669,1.0438
Active,8,Ecomm,0.0511,0.0216,0.0202,0.0675
Active,8,Ecomm,0.3875,0.1099,0.1143,0.4426
Active,8,Ecomm,0.5772,0.1879,0.2026,1.7493
Active,4,Lead_Gen,3.8608,4.2083,0,5.6467
Active,8,Ecomm,0.1696,0.1674,0.1678,0.1701
Active,7,Ecomm,0.4302,0.6788,0.6431,1.2377
Active,8,Ecomm,0.183,0.1837,0.182,0.1825
Active,7,Ecomm,2.5615,1.25,2.8731,2.1802
Active,7,Ecomm,1.719,1.2174,1.0007,1.6313
Active,4,Ecomm,1.459,2.303,2.4714,1.7393
Active,5,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,4,Ecomm,0.203,0.142,0.0417,0.2016
Active,5,Ecomm,0.1644,0.1598,0.2405,0.185
Active,3,Lead_Gen,2.1695,2.1155,0,2.3108
Inactive,4,Ecomm,0.3267,0.1486,0.1471,0.3041
Active,3,Ecomm,3.9385,3.9773,4.2462,4.1178
Active,8,Ecomm,2.0154,3.5556,25.0572,2.3414
Active,24,Ecomm,0.1753,0.1784,0.1727,0.1775
Active,18,Ecomm,0.1572,0.1355,0.1765,0.1434
Active,9,Ecomm,3.0858,2.2361,4.5527,4.1675
Active,19,Ecomm,0.0778,0.1362,0.1335,0.0923
Active,5,Ecomm,1.2753,1.4177,5.4361,1.3224
Active,5,Ecomm,2.0133,2.6603,3.3221,2.2027
Active,15,Ecomm,0.1832,0.1806,0.1794,0.1824
Active,3,Ecomm,0.1098,0.1212,0.1013,0.2063
Active,8,Lead_Gen,2.3677,3.8889,0,1.9096
Active,7,Ecomm,0.1833,0.2444,0.2778,0.1823
Active,21,Ecomm,2.1265,2.5,4.1701,1.768
Active,6,Ecomm,0.4653,0.4108,0.4262,0.324
Active,11,Ecomm,0.1808,0.1667,0.1667,0.1799
Active,3,Lead_Gen,3.2164,3.0923,0,3.324
Active,37,Ecomm,1.0173,0.5633,0.1276,0.9341
Active,11,Lead_Gen,0.3518,0.4713,0,0.3601
Active,15,Ecomm,2.8158,1.9048,2.1472,1.5964
Active,12,Ecomm,2.7053,3.5,1.5627,2.5574
Active,5,Ecomm,0.1075,0.1687,0.1129,0.1228
Active,17,Ecomm,0.2184,0.2021,0.2081,0.2168
Active,12,Ecomm,0.017,0.0204,0.0178,0.0177
Active,8,Ecomm,0.8309,0.2157,0.1564,1.0282
Active,3,Ecomm,0.3829,0.1305,0.1135,0.3079
Active,9,Ecomm,0.1125,0.0771,0.0722,0.1151
Active,12,Ecomm,0.1447,0.0933,0.0946,0.1726
Active,17,Ecomm,1.677,1.765,1.8785,1.9736
Active,8,Ecomm,3.1021,1.9259,2.1321,2.0905
Active,12,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,4,Ecomm,1.8625,0.9405,2.3799,1.931
Active,7,Ecomm,0.1805,0.1805,0.176,0.1827
Active,14,Ecomm,0.0898,0.1443,0.0809,0.1387
Active,6,Ecomm,1.4466,2.44,1.8182,1.6144
Active,7,Ecomm,0.1771,0.1774,0.1787,0.1769
Active,15,Ecomm,4.2838,6.3947,3.2042,3.0396
Active,19,Ecomm,0.1274,0.1632,0.1078,0.1531
Active,20,Ecomm,1.9656,4.3333,3.0959,1.9345
Active,19,Ecomm,0.2136,0.4718,0.556,0.5557
Active,13,Ecomm,0.0248,0.0139,0.0145,0.021
Active,23,Ecomm,0.8797,1.1869,1.1054,1.0191
Active,12,Ecomm,0.1737,0.1705,0.1691,0.1745
Active,8,Ecomm,0.0092,0.0051,0.0035,0.0082
Active,3,Ecomm,1.1341,1.9422,1.7106,1.4295
Active,5,Ecomm,0.0201,0.0201,0.0158,0.0199
Active,22,Ecomm,1.2543,2.0815,2.2528,1.6309
Active,5,Ecomm,1.829,3.3,5.5226,1.4529
Active,12,Lead_Gen,2.1229,2.5833,0,1.9299
Active,8,Ecomm,9.033,8.3333,5.0548,9.6967
Active,6,Lead_Gen,3.1635,3.75,0,2.9872
Active,6,Ecomm,0.084,0.0996,0.0881,0.1089
Active,6,Ecomm,2.2279,1.1042,0.5138,2.2799
Active,11,Ecomm,1.0991,0.3333,0.249,1.3742
Active,3,Ecomm,0.859,1.8833,1.6191,0.946
Active,10,Ecomm,1.7121,1.5161,1.6419,1.7567
Active,8,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,7,Ecomm,1.4303,1.4658,2.1355,1.5636
Active,3,Ecomm,1.9282,3.2667,10.2116,1.6294
Active,6,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,31,Ecomm,0.1667,0.1667,0.1667,0.1667
Active,25,Ecomm,2.0038,3.0794,8.0888,2.3028
Active,3,Ecomm,3.2425,5.238,37.026,3.2678
Active,21,Ecomm,1.8745,2.2244,4.4873,2.2682
